occupation - Split 1,education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Entertainment and Show Business,Bloomingdale High School,,,,,University of South Florida,,,,Mark Consuelos,https://en.wikipedia.org/wiki/Mark_Consuelos,47,Spain,Zaragoza,,American,['University of South Florida'],['Bloomingdale High School'],M,['Actor'],
Entertainment and Show Business,,,,,,Danish National School of Theatre and Contemporary Dance,,,,Nikolaj Coster-Waldau,https://en.wikipedia.org/wiki/Nikolaj_Coster-Waldau,48,Denmark,Rudkbing,,Danish,['Danish National School of Theatre and Contemporary Dance'],,M,"['Actor', 'producer', 'screenwriter']",
Entertainment and Show Business,,,,,,,,,,John Leguizamo,https://en.wikipedia.org/wiki/John_Leguizamo,54,Colombia,Bogot,,American,,,M,"['Actor', 'standup comedian', 'film producer', 'playwright', 'screenwriter']",
Entertainment and Show Business,Miami Dade College,Juilliard School,,,,,,,,Oscar Isaac,https://en.wikipedia.org/wiki/Oscar_Isaac,39,Guatemala,Guatemala City,,American,,"['Miami Dade College', 'Juilliard School']",M,"['Actor', 'musician']",
Entertainment and Show Business,,,,,,London Academy of Music and Dramatic Art,,,,Chris O'Dowd,https://en.wikipedia.org/wiki/Chris_O%27Dowd,39,Ireland,County Roscommon,Boyle,Irish,['London Academy of Music and Dramatic Art'],,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Allen Leech,https://en.wikipedia.org/wiki/Allen_Leech,37,Ireland,County Dublin,Killiney,Irish,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Luke Bracey,https://en.wikipedia.org/wiki/Luke_Bracey,29,Australia,Sydney,,Australian,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Liam Hemsworth,https://en.wikipedia.org/wiki/Liam_Hemsworth,28,Australia,Victoria,Melbourne,Australian,,,M,['Actor'],
Entertainment and Show Business,,,,,,Cherrybrook Technology High School,Western Australian Academy of Performing Arts,,,Jai Courtney,https://en.wikipedia.org/wiki/Jai_Courtney,32,Australia,New South Wales,Sydney,Australian,"['Cherrybrook Technology High School', 'Western Australian Academy of Performing Arts']",,M,['Actor'],
Entertainment and Show Business,,,,,,Western Australian Academy of Performing Arts,"University of Technology,Sydney",,,Hugh Jackman,https://en.wikipedia.org/wiki/Hugh_Jackman,50,Australia,New South Wales,Sydney,Australian,"['Western Australian Academy of Performing Arts', 'University of Technology,Sydney']",,M,"['Actor',  'singer' , 'producer']",
