,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
811,Jeff Garlin,https://en.wikipedia.org/wiki/Jeff_Garlin,56,U.S.,, ,American,,['University of Miami'],,
812,Paul Scheer,https://en.wikipedia.org/wiki/Paul_Scheer,42,U.S.,New York,Huntington,,,,"['Actor, comedian, podcaster, writer, director, producer']",
813,Charles Barkley,https://en.wikipedia.org/wiki/Charles_Barkley,55,Alabama,Leeds, ,American,,,,
814,Debra Winger,https://en.wikipedia.org/wiki/Debra_Winger,63,U.S.,Ohio,Cleveland Heights,,"['California State University, Northridge']",,['Actress'],
815,Richard Gere,https://en.wikipedia.org/wiki/Richard_Gere,69,U.S.,Pennsylvania,Philadelphia,,,['North Syracuse Central High School'],['Actor'],
816,Maria Bamford,https://en.wikipedia.org/wiki/Maria_Bamford,48,U.S.,, ,American,"['Bates College', 'University of Edinburgh', 'University of Minnesota']",,,
817,Rami Malek,https://en.wikipedia.org/wiki/Rami_Malek,37,U.S.,California,Los Angeles,,['University of Evansville'],['Notre Dame High School'],['Actor'],
818,Bill Nye,https://en.wikipedia.org/wiki/Bill_Nye,62,U.S.,D.C.,Washington,American,"[['Cornell University', 'BS , 1977']]",,,
819,Jon Stewart,https://en.wikipedia.org/wiki/Jon_Stewart,55,U.S.,, ,,['College of William amp Mary'],['Lawrence High School'],,
820,Samantha Bee,https://en.wikipedia.org/wiki/Samantha_Bee,,Canada,Ontario,1969  age49   Toronto,,['University of Ottawa'],,,
821,John Oliver,https://en.wikipedia.org/wiki/John_Oliver,41,England,, ,,"['Christs College, Cambridge']",,,
822,Ed Helms,https://en.wikipedia.org/wiki/Ed_Helms,44,U.S.,Georgia,Atlanta,,['Oberlin College'],,"['Actor, comedian, singer']",
823,Rob Corddry,https://en.wikipedia.org/wiki/Rob_Corddry,47,U.S.,Massachusetts,Weymouth,,,,['Actor  comedian'],
824,Megan Mullally,https://en.wikipedia.org/wiki/Megan_Mullally,59,U.S.,California,Los Angeles,,,"['Northwestern University', 'B.A.']","['Actress, comedian, singer']",
825,Nick Offerman,https://en.wikipedia.org/wiki/Nick_Offerman,48,U.S.,Illinois,Minooka,,['University of Illinois at UrbanaChampaign'],,['Actor  writer   carpenter'],
826,Seth Meyers,https://en.wikipedia.org/wiki/Seth_Meyers,44,U.S.,, ,,['Northwestern University'],['Manchester High School West'],,
827,Mayim Bialik,https://en.wikipedia.org/wiki/Mayim_Bialik,42,U.S.,California,San Diego,,"['University of California, Los Angeles', 'BS ,  PhD']",,"['Actress, neuroscientist, author']",
828,Andy Karl,https://en.wikipedia.org/wiki/Andy_Karl,,U.S.,Maryland,Baltimore,,['Towson University'],['Towson High School'],"['Actor, singer']",
829,Tracy Morgan,https://en.wikipedia.org/wiki/Tracy_Morgan,49,U.S.,, ,,,,,
830,Timothy Simons,https://en.wikipedia.org/wiki/Timothy_Simons,40,U.S.,Maine,Readfield,,,,"['Actor, comedian']",
831,Danny McBride,https://en.wikipedia.org/wiki/Danny_McBride,,U.S.,, ,American,,,,
832,Jane Krakowski,https://en.wikipedia.org/wiki/Jane_Krakowski,50,U.S.,New Jersey,ParsippanyTroy Hills,American,,,"['Actress, singer']",
833,Gina Rodriguez,https://en.wikipedia.org/wiki/Gina_Rodriguez,34,U.S.,Illinois,Chicago,American,"['Tisch School of the Arts', 'BFA']",,['Actress and activist'],
834,Ben Falcone,https://en.wikipedia.org/wiki/Ben_Falcone,45,U.S.,Illinois,Carbondale,,,,"['Actor, comedian, filmmaker']",
835,Julie Chen,https://en.wikipedia.org/wiki/Julie_Chen,48,U.S.,New York City, ,,,['University of Southern California'],['Presenter  anchor  producer'],
836,Matt Walsh,https://en.wikipedia.org/wiki/Matt_Walsh_(comedian),54,U.S.,Illinois,Chicago,,,,"['Actor, comedian, director, writer']",
837,David Ortiz,https://en.wikipedia.org/wiki/David_Ortiz,,,,,,,,,
838,Ricky Gervais,https://en.wikipedia.org/wiki/Ricky_Gervais,57,England,, ,,['University College London'],,,
839,Corey Hawkins,https://en.wikipedia.org/wiki/Corey_Hawkins,30,U.S.,D.C.,Washington,,,"['Juilliard School', 'BFA']",['Actor'],
840,Jennifer Garner,https://en.wikipedia.org/wiki/Jennifer_Garner,46,U.S.,Texas,Houston,,['Denison University'],['George Washington High School'],['Actress  film producer'],
841,Demetri Martin,https://en.wikipedia.org/wiki/Demetri_Martin,45,U.S.,, ,,"['Yale University   B.A.', 'NYU School of Law', 'withdrew']",,,
842,Paula Poundstone,https://en.wikipedia.org/wiki/Paula_Poundstone,58,U.S.,, ,American,,,,
843,Rachel Maddow,https://en.wikipedia.org/wiki/Rachel_Maddow,45,U.S.,California,Castro Valley,,,"['Stanford University', 'B.A.', 'Lincoln College, Oxford', 'D.Phil.']","['Television host, political commentator, author']",
844,Ben Platt,https://en.wikipedia.org/wiki/Ben_Platt_(actor),25,U.S.,California,Los Angeles,,,,['Actor  singer'],
845,Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey,59,U.S.,New Jersey,South Orange,,,['Juilliard School'],['Actor  producer  singer'],
846,Terry Crews,https://en.wikipedia.org/wiki/Terry_Crews,,,,,,,,,
847,Rob Huebel,https://en.wikipedia.org/wiki/Rob_Huebel,49,U.S.,Virginia,Alexandria,,,,"['Actor, comedian, writer']",
848,Robin Wright,https://en.wikipedia.org/wiki/Robin_Wright,52,U.S.,Texas,Dallas,American,,,"['Actress, director']",
849,Hannibal Buress,https://en.wikipedia.org/wiki/Hannibal_Buress,35,U.S.,Illinois,Chicago,,,,['Actor  comedian  writer  producer'],
850,Oscar Isaac,https://en.wikipedia.org/wiki/Oscar_Isaac,39,Guatemala,Guatemala City, ,,,"['Miami Dade College', 'Juilliard School']",['Actor  musician'],
851,Laurie Metcalf,https://en.wikipedia.org/wiki/Laurie_Metcalf,63,U.S.,Illinois,Carbondale,,,,['Actress'],
852,April Ryan,https://en.wikipedia.org/wiki/April_Ryan,51,U.S.,Maryland,Baltimore,,,['Morgan State University'],['Journalist'],
853,Gordon Ramsay,https://en.wikipedia.org/wiki/Gordon_Ramsay,51,Scotland,Renfrewshire,Johnstone,,,,,
854,David Sedaris,https://en.wikipedia.org/wiki/David_Sedaris,61,U.S.,, ,American,"['Western Carolina University', 'School of the Art Institute of Chicago']",,,
855,Kevin Hart,https://en.wikipedia.org/wiki/Kevin_Hart,39,U.S.,, ,,,,,
856,Ali Wentworth,https://en.wikipedia.org/wiki/Alexandra_Wentworth,53,U.S.,D.C.,Washington,American,,,"['Actress, comedian, author, producer']",
857,Salma Hayek,https://en.wikipedia.org/wiki/Salma_Hayek,52,Mexico,Veracruz,Coatzacoalcos,"Mexican, American",['Universidad Iberoamericana'],,"['Actress, producer, model']",
858,Hasan Minhaj,https://en.wikipedia.org/wiki/Hasan_Minhaj,33,U.S.,, ,,"['University of California, Davis']",,,
859,Tilda Swinton,https://en.wikipedia.org/wiki/Tilda_Swinton,57,England,London, ,,"['New Hall, Cambridge']",,"['Actress, model, artist']",
860,Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,,['Boston University'],['Clayton High School'],['Talk show host  radio host  author  producer'],
861,Jordan Klepper,https://en.wikipedia.org/wiki/Jordan_Klepper,39,U.S.,, ,,['Kalamazoo College'],['Kalamazoo Central High School'],,
862,John Mulaney,https://en.wikipedia.org/wiki/John_Mulaney,36,U.S.,, ,,['Georgetown University'],['St. Ignatius College Prep'],,
863,Richard Branson,https://en.wikipedia.org/wiki/Richard_Branson,68,England,London,Blackheath,,,,"['Founder of', 'Virgin Group']",
864,Jim Gaffigan,https://en.wikipedia.org/wiki/Jim_Gaffigan,52,U.S.,, ,,['Georgetown University'],['La Lumiere School'],,
865,Anna Chlumsky,https://en.wikipedia.org/wiki/Anna_Chlumsky,37,U.S.,Illinois,Chicago,,"['University of Chicago', 'Atlantic Acting School']",,['Actress'],
866,Uzo Aduba,https://en.wikipedia.org/wiki/Uzo_Aduba,37,U.S.,Massachusetts,Boston,,['Boston University'],,['Actress'],
867,T. J. Miller,https://en.wikipedia.org/wiki/T._J._Miller,37,U.S.,Colorado,Denver,,['George Washington University'],,"['Actor, standup comedian, producer, writer']",
868,Oliver Stone,https://en.wikipedia.org/wiki/Oliver_Stone,72,U.S.,New York,New York City,American,"['Yale University', 'New York University', 'BFA']",,"['Film director, screenwriter, film producer, author']",
869,Olivia Wilde,https://en.wikipedia.org/wiki/Olivia_Wilde,34,U.S.,New York,New York City,,"['Gaiety School of Acting', 'Dublin']",,['Actress  model'],
870,Eddie Izzard,https://en.wikipedia.org/wiki/Eddie_Izzard,56,Colony of Aden, , ,,['University of Sheffield'],"['St Bedes Prep School', 'Eastbourne College']",,
871,Trevor Noah,https://en.wikipedia.org/wiki/Trevor_Noah,34,South Africa, , ,,,,,
