name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Chance the Rapper,https://en.wikipedia.org/wiki/Chance_the_Rapper,25,U.S.,Illinois,Chicago,American,,,M,"['Rapper', 'singer', 'songwriter', 'record producer', 'actor', 'philanthropist']",
Sofía Vergara,https://en.wikipedia.org/wiki/Sof%C3%ADa_Vergara,46,Colombia,Barranquilla, ,American,,,F,"['Actress', 'model',  'television host',  'producer']",
David Boreanaz,https://en.wikipedia.org/wiki/David_Boreanaz,49,U.S.,New York,Buffalo,American,['Ithaca College'],,M,"['Actor', 'producer',  'director']",
Michael Bloomberg,https://en.wikipedia.org/wiki/Michael_Bloomberg,76,U.S.,Massachusetts,Boston,American,,"['Johns Hopkins University',  'Harvard University']",M,['CEO'],Democratic
Pierce Brosnan,https://en.wikipedia.org/wiki/Pierce_Brosnan,65,U.K.,County Louth,Drogheda,British,,,M,"['Actor', 'singer', 'producer', 'environmentalist']",
Jason Alexander,https://en.wikipedia.org/wiki/Jason_Alexander,59,U.S.,New Jersey,Newark,American,,,M,"['Actor', 'voice actor', 'comedian', 'singer', 'director']",
Ta-Nehisi Coates,https://en.wikipedia.org/wiki/Ta-Nehisi_Coates,43,U.S.,Maryland,Baltimore,American,,['Howard University'],M,"['Writer', 'Journalist']",
Russell Brand,https://en.wikipedia.org/wiki/Russell_Brand,43,U.K.,Essex,Grays,British,"['Italia Conti Academy of Theatre Arts', 'Drama Centre London']",,M,['Comedian'],Labour
Grace Gummer,https://en.wikipedia.org/wiki/Grace_Gummer,32,U.S.,New York,New York City,American,['Vassar College'],,F,['Actress'],
Kathy Bates,https://en.wikipedia.org/wiki/Kathy_Bates,70,U.S.,Tennessee,Memphis,American,,,F,"['Actress', 'director']",
Jackie Chan,https://en.wikipedia.org/wiki/Jackie_Chan,64,Hong Kong,Victoria Peak, ,Hong Kong,['Peking Opera School'],,M,"['Martial artist', 'actor', 'director', 'producer', 'screenwriter', 'action choreographer', 'singer', 'stunt director', 'stunt performer']",
Bob Schieffer,https://en.wikipedia.org/wiki/Bob_Schieffer,81,U.S.,Texas,Austin,American,,['Texas Christian University'],M,"['Journalist', 'Anchor']",
Luke Evans,https://en.wikipedia.org/wiki/Luke_Evans_(actor),39,U.K.,Pontypool, ,British,['London Studio Centre'],,M,['Actor'],
Tracey Ullman,https://en.wikipedia.org/wiki/Tracey_Ullman,58,U.K.,England,Buckinghamshire,British,,,F,"['Actress', 'comedian', 'singer', 'dancer', 'screenwriter', 'producer', 'director', 'author', 'businesswoman']",
Bill Murray,https://en.wikipedia.org/wiki/Bill_Murray,68,U.S.,Illinois,Evanston,American,,,M,"['Actor', 'comedian', 'writer']",
Conan O'Brien,https://en.wikipedia.org/wiki/Conan_O%27Brien,55,U.S.,Massachusetts, Brookline,American,['Harvard University'],,M,['Television Host'],
Anna Faris,https://en.wikipedia.org/wiki/Anna_Faris,41,U.S.,Maryland,Baltimore,American,['University of Washington'],,F,"['Actress', 'producer', 'comedian', 'author', 'podcaster']",
Amy Sedaris,https://en.wikipedia.org/wiki/Amy_Sedaris,57,U.S.,New York,Endicott,American,,,F,"['Actress', 'comedian', 'writer']",
Shemar Moore,https://en.wikipedia.org/wiki/Shemar_Moore,48,U.S.,California,Oakland,American,['Santa Clara University'],,M,"['Actor','model']",
Gretchen Carlson,https://en.wikipedia.org/wiki/Gretchen_Carlson,52,U.S.,Minnesota,Anoka,American,['Stanford University'],,F,"['Author', 'television host']",
Jermaine Fowler,https://en.wikipedia.org/wiki/Jermaine_Fowler,30,U.S.,D.C.,Washington,American,,['Northwestern High School'],M,"['Actor', 'writer', 'producer', 'comedian']",
Anna Camp,https://en.wikipedia.org/wiki/Anna_Camp,36,U.S.,South Carolina,Aiken,American,,['University of North Carolina School of the Arts'],F,"['Actress', 'singer']",
Nicole Kidman,https://en.wikipedia.org/wiki/Nicole_Kidman,51,U.S.,Hawaii,Honolulu,American,['Australian Theatre for Young People'],,F,"['Actress', 'producer']",
Ronan Farrow,https://en.wikipedia.org/wiki/Ronan_Farrow,30,U.S.,New York,New York City,American,"['Bard College', 'Yale University']",,M,"['Journalist', 'lawyer']",
Walter Isaacson,https://en.wikipedia.org/wiki/Walter_Isaacson,66,U.S.,Louisiana,New Orleans,American,"['Harvard University', 'Pembroke College, Oxford']",,M,['Author'],
Lawrence O'Donnell,https://en.wikipedia.org/wiki/Lawrence_O%27Donnell,66,U.S.,Massachusetts,Boston,American,['Harvard University'],['Saint Sebastians School'],M,"['Political analyst', 'television host', 'actor']",
Derek DelGaudio,https://en.wikipedia.org/wiki/Derek_DelGaudio,,U.S.,California,Huntington Beach,American,,,M,"['Performance artist', 'writer', 'magician']",
Jason Segel,https://en.wikipedia.org/wiki/Jason_Segel,38,U.S.,California,Los Angeles,American,,['HarvardWestlake School'],M,"['Actor', 'screenwriter', 'producer']",
