name,wiki_link,age,country_born,state_born,city_born,nationality,gender,occupation,political_party
Matt Bomer,https://en.wikipedia.org/wiki/Matt_Bomer,41,U.S.,Missouri,Webster Groves,American,M,Entertainment and Show Business,
Zachary Quinto,https://en.wikipedia.org/wiki/Zachary_Quinto,41,U.S.,Pennsylvania,Pittsburgh,American,M,Entertainment and Show Business,
J. K. Simmons,https://en.wikipedia.org/wiki/J._K._Simmons,63,U.S.,Michigan,Grosse Pointe,American,M,Entertainment and Show Business,
Jesse Eisenberg,https://en.wikipedia.org/wiki/Jesse_Eisenberg,35,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Shemar Moore,https://en.wikipedia.org/wiki/Shemar_Moore,48,U.S.,California,Oakland,American,M,Entertainment and Show Business,
Matt Czuchry,https://en.wikipedia.org/wiki/Matt_Czuchry,41,U.S.,New Hampshire,Manchester,British,M,Entertainment and Show Business,
Christopher Jackson,https://en.wikipedia.org/wiki/Christopher_Jackson_(actor),43,U.S.,Illinois,Metropolis,American,M,Entertainment and Show Business,
B. J. Novak,https://en.wikipedia.org/wiki/B._J._Novak,39,U.S.,Massachusetts,Newton,American,M,Entertainment and Show Business,
Tim Daly,https://en.wikipedia.org/wiki/Tim_Daly,62,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Justin Theroux,https://en.wikipedia.org/wiki/Justin_Theroux,47,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Jack Black,https://en.wikipedia.org/wiki/Jack_Black,49,U.S.,California,Santa Monica,American,M,Entertainment and Show Business,
Viggo Mortensen,https://en.wikipedia.org/wiki/Viggo_Mortensen,60,U.S.,New York,New York City,American,M,Entertainment and Show Business,
John Early,https://en.wikipedia.org/wiki/John_Early_(comedian),30,U.S.,Tennessee,Nashville,American,M,Entertainment and Show Business,
Miles Teller,https://en.wikipedia.org/wiki/Miles_Teller,31,U.S.,Pennsylvania,Downingtown,New York,M,Entertainment and Show Business,
Zach Woods,https://en.wikipedia.org/wiki/Zach_Woods,34,U.S.,New Jersey,Trenton,American,M,Entertainment and Show Business,
Sam Rockwell,https://en.wikipedia.org/wiki/Sam_Rockwell,49,U.S.,California,San Mateo County,American,M,Entertainment and Show Business,
Samuel L. Jackson,https://en.wikipedia.org/wiki/Samuel_L._Jackson,69,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,35,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Bob Odenkirk,https://en.wikipedia.org/wiki/Bob_Odenkirk,56,U.S.,Illinois,Berwyn,American,M,Entertainment and Show Business,
Justin Bartha,https://en.wikipedia.org/wiki/Justin_Bartha,40,U.S.,Florida,Fort Lauderdale,American,M,Entertainment and Show Business,
Ed Helms,https://en.wikipedia.org/wiki/Ed_Helms,44,U.S.,Georgia,Atlanta,American,M,Entertainment and Show Business,
Steve Carell,https://en.wikipedia.org/wiki/Steve_Carell,56,U.S.,Massachusetts,Concord,American,M,Entertainment and Show Business,
Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington,63,U.S.,New York,Mount Vernon,American,M,Entertainment and Show Business,
Casey Affleck,https://en.wikipedia.org/wiki/Casey_Affleck,43,U.S.,Massachusetts,Falmouth,American,M,Entertainment and Show Business,
Wyatt Cenac,https://en.wikipedia.org/wiki/Wyatt_Cenac,42,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Justin Long,https://en.wikipedia.org/wiki/Justin_Long,40,U.S.,Connecticut,Fairfield,American,M,Entertainment and Show Business,
Bobby Moynihan,https://en.wikipedia.org/wiki/Bobby_Moynihan,41,U.S.,New York,,American,M,Entertainment and Show Business,
John Slattery,https://en.wikipedia.org/wiki/John_Slattery,56,U.S.,Massachusetts,Boston,American,M,Entertainment and Show Business,
Kyle MacLachlan,https://en.wikipedia.org/wiki/Kyle_MacLachlan,59,U.S.,Washington,Yakima,American,M,Entertainment and Show Business,
Josh Gad,https://en.wikipedia.org/wiki/Josh_Gad,37,U.S.,Florida,Hollywood,American,M,Entertainment and Show Business,
